name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,opponent_team
Nathan Redmond,MID,Southampton,1,0,0,0,0,0,403,0,0,0,0,19,0,0,0,0,2022-08-13T14:00:00Z,0,0,0,0,0,2,0,6353,0,2,2,0,0,-636,190,826,55,TRUE,0,Leeds
Junior Stanislas,MID,Bournemouth,-0.5,0,0,2,0,0.3,58,0,0,0,0,17,1,0,0,0,2022-08-13T14:00:00Z,27,0,0,0,0,2,0,8333,0,0,4,1,1,-1913,240,2153,50,FALSE,0,Man City
Armando Broja,FWD,Chelsea,1,0,0,3,0,0,150,0,0,0,0,15,1,0,0,0,2022-08-14T15:30:00Z,1,0,0,0,0,2,0,118331,0,2,2,0,1,-13748,6822,20570,55,TRUE,0,Spurs
Fabian Schär,DEF,Newcastle,10,0,0,22,1,0.7,366,0,0,0,0,14,0,0,2.1,20.6,2022-08-13T14:00:00Z,90,0,0,0,0,2,0,411488,0,0,0,0,5,217272,238819,21547,46,FALSE,1,Brighton
Jonny Evans,DEF,Leicester,0,0,0,13,0,0.4,249,0,0,0,0,11,4,0,1.5,14.4,2022-08-13T14:00:00Z,90,0,0,0,0,2,0,29893,0,2,4,0,0,-726,2019,2745,45,FALSE,0,Arsenal
Brennan Johnson,FWD,Nott'm Forest,1,0,0,5,1,14.3,394,0,0,0,0,18,0,0,3.3,1.6,2022-08-14T13:00:00Z,90,0,0,0,0,2,0,160914,0,0,1,17,1,-18911,6297,25208,60,TRUE,1,West Ham
Cheick Doucouré,MID,Crystal Palace,1,0,0,17,0,28,514,0,0,0,0,16,1,0,4.4,12.8,2022-08-15T19:00:00Z,78,0,0,0,0,2,0,12433,0,1,1,3,2,-140,1698,1838,50,FALSE,0,Liverpool
Oliver Hammond,MID,Nott'm Forest,-0.5,0,0,0,0,0,553,0,0,0,0,18,0,0,0,0,2022-08-14T13:00:00Z,0,0,0,0,0,2,0,4032,0,0,1,0,0,-98,394,492,45,TRUE,0,West Ham
Luke Cundle,MID,Wolves,0.5,0,0,0,0,0,485,0,0,0,0,20,0,0,0,0,2022-08-13T14:00:00Z,0,0,0,0,0,2,0,39046,0,0,0,0,0,-2376,2269,4645,45,TRUE,0,Fulham
Fin Stevens,DEF,Brentford,-0.5,0,0,0,0,0,540,0,0,0,0,13,0,0,0,0,2022-08-13T16:30:00Z,0,0,0,0,0,2,0,24458,0,0,4,0,0,1228,3100,1872,40,TRUE,0,Man Utd
